time,type,lane,pos,collider,victim,colliderType,victimType,colliderSpeed,victimSpeed
15.8,collision,E0_1,77.55,myflow.2,myflow.1,aggressive,aggressive,3.83,0.00
42.4,junction,:J2_9_0,11.76,myflow.8,myflow.7,violator,aggressive,3.70,5.08
85.8,collision,E2_1,75.69,myflow.19,myflow.16,violator,normal,4.60,0.00
91.9,collision,-E3_0,76.22,myflow.21,myflow.13,aggressive,normal,1.28,0.79
144.9,junction,:J2_19_0,4.56,myflow.27,myflow.31,aggressive,aggressive,6.14,6.39
167.0,collision,-E3_0,78.67,myflow.40,myflow.39,aggressive,normal,3.53,3.41
201.7,collision,E0_1,58.42,myflow.49,myflow.48,aggressive,normal,2.12,1.73
307.3,collision,E0_1,66.43,myflow.75,myflow.74,aggressive,normal,1.62,1.13
322.9,collision,E2_1,83.47,myflow.78,myflow.77,violator,speeder,1.49,0.09
